open_time,close_time,open,high,low,close,volume,currency_pair
2024-05-20,2024-05-20 23:59:59.999,3071.20000000,3694.00000000,3047.67000000,3661.78000000,847107.88280000,ETHUSDT
2024-05-21,2024-05-21 23:59:59.999,3661.79000000,3841.54000000,3624.28000000,3789.60000000,952437.26940000,ETHUSDT
2024-05-22,2024-05-22 23:59:59.999,3789.59000000,3813.69000000,3653.15000000,3737.73000000,574938.30990000,ETHUSDT
2024-05-23,2024-05-23 23:59:59.999,3737.72000000,3949.29000000,3498.00000000,3783.61000000,1127866.07600000,ETHUSDT
2024-05-24,2024-05-24 23:59:59.999,3783.60000000,3829.61000000,3626.10000000,3728.28000000,479418.43180000,ETHUSDT
2024-05-25,2024-05-25 23:59:59.999,3728.28000000,3779.43000000,3709.03000000,3749.26000000,158711.89920000,ETHUSDT
2024-05-26,2024-05-26 23:59:59.999,3749.25000000,3884.20000000,3731.17000000,3826.47000000,292208.29370000,ETHUSDT
2024-05-27,2024-05-27 23:59:59.999,3826.47000000,3977.00000000,3823.37000000,3894.22000000,363717.64730000,ETHUSDT
2024-05-28,2024-05-28 23:59:59.999,3894.21000000,3931.09000000,3773.90000000,3844.69000000,416249.83440000,ETHUSDT
2024-05-29,2024-05-29 23:59:59.999,3844.69000000,3888.55000000,3742.59000000,3767.43000000,334759.63480000,ETHUSDT
2024-05-30,2024-05-30 23:59:59.999,3767.44000000,3825.35000000,3702.58000000,3747.91000000,277034.28940000,ETHUSDT
2024-05-31,2024-05-31 23:59:59.999,3747.90000000,3849.94000000,3723.75000000,3762.29000000,273406.76600000,ETHUSDT
2024-06-01,2024-06-01 23:59:59.999,3762.29000000,3833.30000000,3752.67000000,3815.82000000,132687.20060000,ETHUSDT
2024-06-02,2024-06-02 23:59:59.999,3815.82000000,3838.59000000,3752.62000000,3780.91000000,210295.44070000,ETHUSDT
2024-06-03,2024-06-03 23:59:59.999,3780.92000000,3849.99000000,3758.43000000,3767.06000000,248848.70200000,ETHUSDT
2024-06-04,2024-06-04 23:59:59.999,3767.07000000,3831.65000000,3730.00000000,3810.23000000,232063.74680000,ETHUSDT
2024-06-05,2024-06-05 23:59:59.999,3810.23000000,3887.47000000,3777.33000000,3865.99000000,273738.60350000,ETHUSDT
2024-06-06,2024-06-06 23:59:59.999,3866.00000000,3878.60000000,3838.53000000,3853.00000000,91847.22440000,ETHUSDT
2024-05-07,2024-05-07 23:59:59.999,588.20000000,600.40000000,576.00000000,576.50000000,289488.70900000,BNBUSDT
2024-05-08,2024-05-08 23:59:59.999,576.50000000,590.00000000,574.40000000,588.60000000,297016.61700000,BNBUSDT
2024-05-09,2024-05-09 23:59:59.999,588.60000000,605.80000000,586.30000000,596.80000000,464857.60100000,BNBUSDT
